wave.pageurl,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
scrippscollege.edu,4.72,164,758,2,35,14,12,57,44,Scripps College,Claremont,CA,Bachelor's,Graduate,Private nonprofit,0.2954,Not online only,58442,58442,0.7795,4-year,374862269,1091,39142,77774,Better than Average
doane.edu,4.83,420,1639,0,9,45,58,99,209,Doane University,Crete,NE,Bachelor's,Graduate,Private nonprofit,0.772,Not online only,37880,37880,0.3977,4-year,110646035,1102,23792,52170,Better than Average
central.edu,3.12,118,801,8,1,27,27,32,23,Central College,Pella,IA,Bachelor's,Bachelor's,Private nonprofit,0.7452,Not online only,19250,19250,0.8952,4-year,79516457,1106,22535,33319,Better than Average
sandburg.edu,4.45,181,520,0,0,7,33,35,106,Carl Sandburg College,Galesburg,IL,Certificate,Associate,Public,,Not online only,5250,8760,0.3252,2-year,13138804,1108,3232,11190,Better than Average
mcm.edu,7.63,333,1308,15,60,40,39,97,82,McMurry University,Abilene,TX,Bachelor's,Graduate,Private nonprofit,0.7835,Not online only,29400,29400,1,4-year,95636072,1115,22602,43389,Better than Average
jcsu.edu,9.14,132,649,13,3,13,10,34,59,Johnson C Smith University,Charlotte,NC,Bachelor's,Graduate,Private nonprofit,0.4453,Not online only,18944,18944,0.5933,4-year,65797169,1122,16703,26234,Better than Average
marietta.edu,3.82,1189,2234,27,26,81,47,88,920,Marietta College,Marietta,OH,Bachelor's,Graduate,Private nonprofit,0.8309,Not online only,37460,37460,1,4-year,85460235,1124,19568,50549,Better than Average
catawba.edu,4.74,324,1517,6,5,5,56,91,161,Catawba College,Salisbury,NC,Bachelor's,Bachelor's,Private nonprofit,0.5612,Not online only,32380,32380,0.7297,4-year,71539000,1132,18861,45711,Better than Average
anderson.edu,6.02,435,1448,3,13,22,22,48,327,Anderson University,Anderson,IN,Bachelor's,Graduate,Private nonprofit,0.6245,Not online only,32950,32950,1,4-year,35109000,1137,22009,46132,Better than Average
knox.edu,4.12,110,390,9,40,23,25,12,1,Knox College,Galesburg,IL,Bachelor's,Bachelor's,Private nonprofit,0.7024,Not online only,51576,51576,0.745,4-year,171631200,1140,23285,62212,Better than Average
berkshirecc.edu,2.52,74,309,0,1,1,8,30,34,Berkshire Community College,Pittsfield,MA,Associate,Associate,Public,,Not online only,5492,11520,0.3817,2-year,8965663,1151,8309,15428,Better than Average
opsu.edu,2.42,320,782,0,19,19,10,53,219,Oklahoma Panhandle State University,Goodwell,OK,Bachelor's,Bachelor's,Public,,Not online only,7490,8234,0.6118,4-year,7669221,1181,7210,14148,Better than Average
cptc.edu,4.52,234,867,4,2,37,5,51,135,Clover Park Technical College,Lakewood,WA,Certificate,Bachelor's,Public,,Not online only,5740,5740,0.9947,4-year,1286422,1184,6181,13720,Better than Average
strayer.edu/campus-locations/alabama/birmingham,12.55,888,2343,5,14,45,84,80,660,Strayer University-Alabama,Birmingham,AL,Bachelor's,Graduate,Private for-profit,,Not online only,13515,13515,0.16,4-year,,1188,21339,25041,Better than Average
socc.edu,6.93,206,1263,10,3,43,14,51,85,Southwestern Oregon Community College,Coos Bay,OR,Associate,Associate,Public,,Not online only,6447,6447,1,2-year,2009166,1193,9202,15834,Better than Average
midlandu.edu,4.42,183,1137,0,4,25,35,74,45,Midland University,Fremont,NE,Bachelor's,Graduate,Private nonprofit,0.6375,Not online only,36746,36746,1,4-year,19751312,1200,21756,47552,Better than Average
uti.edu,5.02,1001,3355,25,26,95,59,108,688,NASCAR Technical Institute,Mooresville,NC,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,1211,23373,27905,Better than Average
mercycollege.edu,3.72,141,826,0,16,21,19,52,33,Mercy College of Ohio,Toledo,OH,Associate,Graduate,Private nonprofit,0.4097,Not online only,18950,18950,0.3602,4-year,24600763,1215,24068,26179,Better than Average
rappahannock.edu,5.73,274,1227,6,47,60,30,26,105,Rappahannock Community College,Glenns,VA,Certificate,Associate,Public,,Not online only,4820,10823,0.2263,2-year,11286674,1216,6158,12182,Better than Average
baycollege.edu,4.93,580,1761,1,0,85,91,170,233,Bay de Noc Community College,Escanaba,MI,Associate,Associate,Public,,Not online only,5400,10380,1,2-year,10512690,1224,8471,14568,Better than Average
bryantstratton.edu,5.93,454,2084,1,3,51,143,65,191,Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,Associate,Bachelor's,Private for-profit,,Not online only,19332,19332,0.392,4-year,,1228,17877,24633,Better than Average
uti.edu,5.02,1001,3355,25,26,95,59,108,688,Universal Technical Institute of Northern California Inc,Sacramento,CA,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,1232,24377,28878,Better than Average
ccbc.edu,16.26,243,665,25,63,17,17,38,83,Community College of Beaver County,Monaca,PA,Associate,Associate,Public,,Not online only,6810,18660,0.469,2-year,1775280,1233,7207,11741,Better than Average
loras.edu,5.32,111,872,19,20,8,17,25,22,Loras College,Dubuque,IA,Bachelor's,Graduate,Private nonprofit,0.7196,Not online only,35268,35268,0.7829,4-year,42736730,1236,19091,46488,Better than Average
bryantstratton.edu,5.93,454,2084,1,3,51,143,65,191,Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,Associate,Bachelor's,Private for-profit,,Not online only,18087,18087,0.2538,4-year,,1239,17321,23075,Better than Average
alextech.edu,2.52,199,815,1,26,49,33,76,14,Alexandria Technical & Community College,Alexandria,MN,Associate,Associate,Public,,Not online only,5910,5910,0.5909,2-year,3279000,1255,13868,18376,Better than Average
cmi.edu,6.42,716,1768,3,16,47,6,152,492,College of the Marshall Islands,Majuro,MH,Associate,Bachelor's,Public,,Not online only,4295,5120,0.6951,4-year,1750457,1261,3287,9469,Better than Average
lasierra.edu,4.02,631,1532,8,464,27,14,31,87,La Sierra University,Riverside,CA,Bachelor's,Graduate,Private nonprofit,0.6607,Not online only,34218,34218,0.5138,4-year,20797171,1270,23480,46046,Better than Average
marianas.edu,8.33,189,1583,2,0,15,26,68,78,Northern Marianas College,Saipan,MP,Associate,Bachelor's,Public,,Not online only,4038,5520,0.5529,4-year,9012961,1274,2107,8502,Better than Average
lcu.edu,2.72,179,682,2,5,64,15,70,23,Lubbock Christian University,Lubbock,TX,Bachelor's,Graduate,Private nonprofit,0.9518,Not online only,24900,24900,0.5146,4-year,22815546,1275,24311,38035,Better than Average
cayuga-cc.edu,6.32,166,1302,5,3,10,15,121,12,Cayuga County Community College,Auburn,NY,Associate,Associate,Public,,Not online only,6292,11284,0.3704,2-year,15140434,1276,6173,12932,Better than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-Phoenix North,Phoenix,AZ,Certificate,Associate,Private for-profit,,Not online only,,,0.5098,2-year,,1281,28423,31592,Better than Average
vaughn.edu,7.83,208,1149,5,7,29,44,37,86,Vaughn College of Aeronautics and Technology,Flushing,NY,Associate,Graduate,Private nonprofit,,Not online only,26150,26150,1,4-year,5421686,1283,37659,45414,Better than Average
fajardo.inter.edu,6.93,187,1094,36,17,54,14,64,2,Inter American University of Puerto Rico-Fajardo,Fajardo,PR,Bachelor's,Graduate,Private nonprofit,0.5312,Not online only,5292,5292,1,4-year,,1288,8773,14631,Worse than Average
lasell.edu,4.33,309,908,4,23,45,47,57,133,Lasell University,Newton,MA,Bachelor's,Graduate,Private nonprofit,0.8506,Not online only,42000,42000,0.3627,4-year,42326023,1294,28431,54503,Better than Average
bloomfield.edu,3.82,292,1201,12,6,16,17,60,181,Bloomfield College,Bloomfield,NJ,Bachelor's,Graduate,Private nonprofit,0.8403,Not online only,30680,30680,1,4-year,14209684,1294,21704,43583,Better than Average
usciences.edu,3.32,233,1079,4,7,19,19,78,106,University of the Sciences,Philadelphia,PA,Bachelor's,Graduate,Private nonprofit,0.6132,Not online only,27500,27500,1,4-year,145646092,1311,34773,44520,Better than Average
centre.edu,3.02,119,605,0,3,3,39,46,28,Centre College,Danville,KY,Bachelor's,Bachelor's,Private nonprofit,0.6798,Not online only,46000,46000,0.9735,4-year,327202228,1315,20610,58601,Better than Average
uti.edu,5.02,1001,3355,25,26,95,59,108,688,Universal Technical Institute of Illinois Inc,Lisle,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,1331,23078,26668,Better than Average
escc.edu,5.12,243,1519,16,17,23,27,95,65,Enterprise State Community College,Enterprise,AL,Associate,Associate,Public,,Not online only,4860,8550,0.4672,2-year,17187,1336,3214,9454,Better than Average
masters.edu,2.42,504,1641,6,9,145,73,90,181,The Master's University and Seminary,Santa Clarita,CA,Bachelor's,Graduate,Private nonprofit,0.6698,Not online only,28870,28870,0.3527,4-year,31837881,1338,29357,43385,Better than Average
owu.edu,8.03,659,5269,184,58,41,235,112,29,Ohio Wesleyan University,Delaware,OH,Bachelor's,Bachelor's,Private nonprofit,0.7402,Not online only,48832,48832,0.6,4-year,236259742,1338,24089,62620,Worse than Average
uti.edu,5.02,1001,3355,25,26,95,59,108,688,Universal Technical Institute-Southern California,Long Beach,CA,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,1341,24421,28647,Better than Average
coe.edu,5.13,156,557,3,7,25,28,42,51,Coe College,Cedar Rapids,IA,Bachelor's,Bachelor's,Private nonprofit,0.7266,Not online only,48822,48822,1,4-year,98765208,1347,18515,59900,Better than Average
cascadia.edu,2.62,202,659,4,12,131,31,22,2,Cascadia College,Bothell,WA,Associate,Bachelor's,Public,,Not online only,4533,4896,0.3902,4-year,1455199,1353,8251,15245,Better than Average
cecil.edu,3.23,200,957,0,0,17,36,80,67,Cecil College,North East,MD,Associate,Associate,Public,,Not online only,4770,9510,0.3188,2-year,6848077,1356,9226,13420,Better than Average
uti.edu,5.02,1001,3355,25,26,95,59,108,688,Universal Technical Institute of California Inc,Rancho Cucamonga,CA,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,1366,21169,26337,Better than Average
stvincent.edu,5.93,259,649,7,2,80,29,53,88,Saint Vincent College,Latrobe,PA,Bachelor's,Graduate,Private nonprofit,0.7303,Not online only,38741,38741,0.9808,4-year,105247418,1383,22536,51823,Better than Average
rhodesstate.edu,5.23,365,2244,122,0,11,14,155,63,James A. Rhodes State College,Lima,OH,Associate,Associate,Public,,Not online only,4397,8721,0.3522,2-year,1960473,1390,11518,13695,Worse than Average
sunymaritime.edu,3.32,607,932,0,1,165,34,49,358,SUNY Maritime College,Throggs Neck,NY,Bachelor's,Graduate,Public,0.7405,Not online only,8522,18432,0.7069,4-year,7442679,1399,21828,27369,Better than Average
iot.edu,4.02,256,1914,17,11,27,32,95,74,Institute of Technology,Clovis,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.4453,2-year,,1403,23602,28413,Better than Average
randolph.edu,3.33,360,777,1,0,8,40,35,276,Randolph Community College,Asheboro,NC,Certificate,Associate,Public,,Not online only,2416,8146,0.2005,2-year,10369475,1409,5305,13610,Better than Average
smcvt.edu,5.13,354,796,14,13,125,48,58,96,Saint Michael's College,Colchester,VT,Bachelor's,Graduate,Private nonprofit,0.8588,Not online only,48690,48690,1,4-year,77654939,1415,26403,63368,Better than Average
strayer.edu/campus-locations/maryland/prince-georges,11.94,884,2355,5,14,45,82,78,660,Strayer University-Maryland,Suitland,MD,Bachelor's,Graduate,Private for-profit,,Not online only,13515,13515,0.16,4-year,,1422,,,Better than Average
belmontabbeycollege.edu,12.24,1265,3671,37,76,113,152,239,648,Belmont Abbey College,Belmont,NC,Bachelor's,Bachelor's,Private nonprofit,0.9891,Not online only,18500,18500,0.619,4-year,12273393,1426,21238,31908,Worse than Average
nmhu.edu,4.93,307,1108,4,12,32,15,101,143,New Mexico Highlands University,Las Vegas,NM,Bachelor's,Graduate,Public,,Not online only,6876,11532,0.958,4-year,8965864,1451,12305,20543,Better than Average
berea.edu,3.02,90,544,1,7,10,21,41,10,Berea College,Berea,KY,Bachelor's,Bachelor's,Private nonprofit,0.3301,Not online only,43612,43612,0.868,4-year,1222167100,1454,3442,55656,Better than Average
lr.edu,3.52,323,1187,1,18,38,33,35,198,Lenoir-Rhyne University,Hickory,NC,Bachelor's,Graduate,Private nonprofit,0.8572,Not online only,41500,41500,1,4-year,116043326,1458,21175,53194,Better than Average
hsutx.edu,5.95,249,777,6,26,38,31,39,109,Hardin-Simmons University,Abilene,TX,Bachelor's,Graduate,Private nonprofit,0.9459,Not online only,31686,31686,0.5465,4-year,187850376,1459,21916,44456,Better than Average
alfred.edu,5.12,392,715,0,1,15,21,64,291,Alfred University,Alfred,NY,Bachelor's,Graduate,Private nonprofit,0.6716,Not online only,33864,34960,0.784,4-year,136550309,1460,24627,52103,Better than Average
lincolntech.edu/campus/nashville-tn,4.64,273,1294,4,7,14,21,80,147,Lincoln College of Technology-Nashville,Nashville,TN,Certificate,Associate,Private for-profit,,Not online only,,,1,2-year,,1464,24427,29703,Better than Average
lawrence.edu,2.82,219,1097,0,10,20,31,74,84,Lawrence University,Appleton,WI,Bachelor's,Bachelor's,Private nonprofit,0.7496,Not online only,52401,52401,0.8462,4-year,361079910,1468,21238,64260,Better than Average
adams.edu,5.82,121,631,2,0,36,22,32,29,Adams State University,Alamosa,CO,Bachelor's,Graduate,Public,0.9983,Not online only,9680,17933,0.4131,4-year,62124,1484,14305,23292,Better than Average
blueridgectc.edu,15.35,2564,5044,14,0,17,296,473,1764,Blue Ridge Community and Technical College,Martinsburg,WV,Associate,Associate,Public,,Not online only,4128,7464,0.4834,2-year,581530,1489,5142,10615,Better than Average
scciowa.edu,3.53,121,513,16,1,28,26,50,0,Southeastern Community College,West Burlington,IA,Associate,Associate,Public,,Not online only,6090,6240,1,2-year,7012085,1497,7057,12798,Better than Average
spcc.edu,5.63,143,840,5,1,10,20,46,61,South Piedmont Community College,Polkton,NC,Certificate,Associate,Public,,Not online only,2015,6623,0.3807,2-year,2687272,1497,5239,13961,Better than Average
mobap.edu,3.32,351,1446,47,39,34,11,107,113,Missouri Baptist University,Saint Louis,MO,Bachelor's,Graduate,Private nonprofit,0.618,Not online only,30548,30548,0.2782,4-year,4199302,1504,22928,41811,Worse than Average
octech.edu,6.04,202,1261,2,1,16,34,36,113,Orangeburg Calhoun Technical College,Orangeburg,SC,Certificate,Associate,Public,,Not online only,4730,7490,0.5313,2-year,905365,1511,5218,14629,Better than Average
methodist.edu,3.82,356,1244,1,9,14,45,69,218,Methodist University,Fayetteville,NC,Bachelor's,Graduate,Private nonprofit,0.7859,Not online only,36960,36960,0.6207,4-year,21884004,1512,18855,44518,Better than Average
stfrancis.edu,6.93,524,1586,1,39,12,16,63,393,University of St Francis,Joliet,IL,Bachelor's,Graduate,Private nonprofit,0.6823,Not online only,35000,35000,0.8636,4-year,22607586,1519,16578,43586,Better than Average
wnmu.edu,5.02,359,2499,56,19,122,4,123,35,Western New Mexico University,Silver City,NM,Bachelor's,Graduate,Public,,Not online only,6558,13541,0.4311,4-year,13100317,1528,14023,20707,Worse than Average
snead.edu,4.22,121,479,0,29,16,8,20,48,Snead State Community College,Boaz,AL,Associate,Associate,Public,,Not online only,5344,9280,0.3185,2-year,2605005,1537,7179,13481,Better than Average
whitman.edu,3.92,239,839,13,3,9,9,40,165,Whitman College,Walla Walla,WA,Bachelor's,Bachelor's,Private nonprofit,0.5895,Not online only,55982,55982,0.8627,4-year,586334718,1539,30694,66408,Better than Average
sw.edu,5.74,228,1062,3,13,61,29,43,79,Southwest Virginia Community College,Cedar Bluff,VA,Associate,Associate,Public,,Not online only,4703,10706,0.3664,2-year,2455777,1554,8120,14162,Better than Average
btech.edu,8.05,329,1593,6,71,32,11,114,95,Bridgerland Technical College,Logan,UT,Certificate,Certificate,Public,,Not online only,,,,Less-than-2-year,,1562,7845,8840,Better than Average
lmunet.edu,3.72,212,865,0,23,9,58,42,80,Lincoln Memorial University,Harrogate,TN,Bachelor's,Graduate,Private nonprofit,0.699,Not online only,24210,24210,0.5442,4-year,41333767,1575,16017,37491,Better than Average
southside.edu,3.42,560,1408,0,2,67,47,94,350,Southside Virginia Community College,Alberta,VA,Certificate,Associate,Public,,Not online only,4695,10698,0.3133,2-year,3545149,1575,6412,12363,Better than Average
esf.edu,3.72,118,461,9,6,13,23,36,31,SUNY College of Environmental Science and Forestry,Syracuse,NY,Bachelor's,Graduate,Public,0.6532,Not online only,9206,19966,0.7216,4-year,36170408,1576,21248,29020,Better than Average
lssu.edu,6.93,409,1411,12,0,11,87,62,237,Lake Superior State University,Sault Ste Marie,MI,Bachelor's,Bachelor's,Public,0.7329,Not online only,13200,13200,0.934,4-year,28423001,1593,14035,24374,Better than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-Sacramento,Sacramento,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.1892,2-year,,1606,36309,39818,Better than Average
ngu.edu,7.85,421,1346,0,2,56,78,110,175,North Greenville University,Tigerville,SC,Bachelor's,Graduate,Private nonprofit,0.6974,Not online only,22470,22470,0.613,4-year,34849069,1609,19514,39201,Better than Average
lynchburg.edu,5.33,263,1691,17,10,30,48,61,97,University of Lynchburg,Lynchburg,VA,Bachelor's,Graduate,Private nonprofit,0.9687,Not online only,33500,33500,0.6589,4-year,109345579,1614,24265,55718,Better than Average
kent.edu/tusc,5.12,388,1269,7,2,45,28,50,256,Kent State University at Tuscarawas,New Philadelphia,OH,Associate,Bachelor's,Public,,Not online only,6758,15634,0.4032,4-year,,1627,9668,13797,Better than Average
belhaven.edu,3.92,217,856,3,6,25,47,39,97,Belhaven University,Jackson,MS,Bachelor's,Graduate,Private nonprofit,0.6402,Not online only,27825,27825,0.1408,4-year,5763775,1632,18088,36113,Better than Average
porterchester.edu,7.55,134,960,1,12,12,46,62,1,Porter & Chester Institute,Bridgeport,CT,Certificate,Certificate,Private for-profit,,Not online only,15775,15775,,Less-than-2-year,,1633,24416,30310,Better than Average
walsh.edu,4.42,284,584,1,0,25,41,20,197,Walsh University,North Canton,OH,Bachelor's,Graduate,Private nonprofit,0.7992,Not online only,32315,32315,1,4-year,29284378,1635,16745,43398,Better than Average
lvc.edu,8.15,300,1357,0,0,53,71,56,120,Lebanon Valley College,Annville,PA,Bachelor's,Graduate,Private nonprofit,0.7764,Not online only,47180,47180,0.4922,4-year,70774504,1635,26714,60168,Better than Average
hws.edu,2.72,83,487,1,4,9,22,47,0,Hobart William Smith Colleges,Geneva,NY,Bachelor's,Graduate,Private nonprofit,0.6743,Not online only,60240,60240,1,4-year,204650152,1639,30476,76415,Better than Average
viterbo.edu,10.53,107,650,16,6,8,13,41,23,Viterbo University,La Crosse,WI,Bachelor's,Graduate,Private nonprofit,0.7746,Not online only,29920,29920,0.4182,4-year,55256922,1639,18686,41474,Better than Average
csc.edu,5.32,217,718,6,0,16,27,46,122,Chadron State College,Chadron,NE,Bachelor's,Graduate,Public,,Not online only,7844,7874,1,4-year,21074443,1642,15260,22078,Better than Average
evangel.edu,4.32,328,682,0,1,16,23,37,251,Evangel University,Springfield,MO,Bachelor's,Graduate,Private nonprofit,0.6364,Not online only,25748,25748,0.3766,4-year,21042875,1654,21623,37907,Better than Average
amda.edu,4.83,204,985,0,11,23,69,99,2,American Musical and Dramatic Academy,New York,NY,Certificate,Bachelor's,Private nonprofit,0.2206,Not online only,42960,42960,1,4-year,,1656,43915,60908,Better than Average
lakeforest.edu,5.82,343,2817,133,10,13,20,166,1,Lake Forest College,Lake Forest,IL,Bachelor's,Graduate,Private nonprofit,0.6443,Not online only,51002,51002,0.5812,4-year,84192908,1657,23642,63691,Worse than Average
herzing.edu,3.22,328,1725,20,9,30,43,39,187,Herzing University-Madison,Madison,WI,Bachelor's,Graduate,Private nonprofit,0.9425,Not online only,14200,14200,0.1407,4-year,,1661,25849,30972,Better than Average
sunyjefferson.edu,4.02,144,481,0,1,9,14,47,73,Jefferson Community College,Watertown,NY,Associate,Associate,Public,,Not online only,5688,5688,0.3457,2-year,7152797,1664,10925,17672,Better than Average
kent.edu/geauga,7.94,317,1157,7,2,34,21,54,199,Kent State University at Geauga,Burton,OH,Associate,Bachelor's,Public,,Not online only,6758,15634,0.3645,4-year,,1665,9669,13385,Better than Average
allegany.edu,10.64,334,1547,3,31,45,36,47,172,Allegany College of Maryland,Cumberland,MD,Associate,Associate,Public,,Not online only,4730,10280,0.6048,2-year,14689195,1671,9411,14790,Better than Average
limestone.edu,3.62,1120,2263,6,8,45,53,223,785,Limestone University,Gaffney,SC,Bachelor's,Graduate,Private nonprofit,0.8723,Not online only,26300,26300,1,4-year,25726429,1679,22047,42297,Better than Average
ega.edu,4.92,1473,2861,2,32,8,144,369,918,East Georgia State College,Swainsboro,GA,Associate,Bachelor's,Public,,Not online only,3136,9488,0.7188,4-year,303242,1682,8696,14887,Better than Average
surry.edu,3.72,163,761,1,2,8,43,83,26,Surry Community College,Dobson,NC,Associate,Associate,Public,,Not online only,2663,8807,0.3162,2-year,9713276,1682,6999,15592,Better than Average
berkeleycollege.edu,6.24,233,1588,1,2,14,26,101,89,Berkeley College-New York,New York,NY,Bachelor's,Bachelor's,Private for-profit,,Not online only,27600,27600,1,4-year,,1688,19287,35006,Better than Average
francis.edu,3.73,266,1160,5,12,54,52,100,43,Saint Francis University,Loretto,PA,Bachelor's,Graduate,Private nonprofit,0.7334,Not online only,39502,39502,1,4-year,50048590,1699,29562,55004,Better than Average
sunyjcc.edu,2.83,146,785,1,2,7,24,66,46,Jamestown Community College,Jamestown,NY,Associate,Associate,Public,,Not online only,6350,11550,0.2757,2-year,,1702,9384,16464,Better than Average
arcadia.edu,4.32,470,2862,0,4,22,61,177,206,Arcadia University,Glenside,PA,Bachelor's,Graduate,Private nonprofit,0.8242,Not online only,46220,46220,0.3219,4-year,79338000,1703,26188,54454,Better than Average
mmm.edu,6.34,221,1253,1,36,14,69,36,65,Marymount Manhattan College,New York,NY,Bachelor's,Bachelor's,Private nonprofit,0.7691,Not online only,37410,37410,0.2295,4-year,21143119,1713,30721,58194,Better than Average
daemen.edu,3.22,135,530,16,9,9,10,36,55,Daemen University,Amherst,NY,Bachelor's,Graduate,Private nonprofit,0.7844,Not online only,31250,31250,0.488,4-year,21108763,1721,19883,41533,Better than Average
bridgeport.edu,3.52,188,871,8,4,27,36,56,57,University of Bridgeport,Bridgeport,CT,Bachelor's,Graduate,Private nonprofit,0.7314,Not online only,35760,35760,0.4136,4-year,19446000,1733,24416,52363,Better than Average
mnwest.edu,5.43,211,1770,68,2,14,16,105,6,Minnesota West Community and Technical College,Granite Falls,MN,Certificate,Associate,Public,,Not online only,6286,11936,0.5396,2-year,1163000,1745,11980,16657,Worse than Average
simmons.edu,4.83,214,810,1,12,17,34,68,82,Simmons University,Boston,MA,Bachelor's,Graduate,Private nonprofit,0.8353,Not online only,43062,43062,0.2671,4-year,190425868,1746,18046,49666,Better than Average
pomona.edu,3.92,134,888,1,2,12,23,60,36,Pomona College,Claremont,CA,Bachelor's,Bachelor's,Private nonprofit,0.0664,Not online only,56686,56686,0.9417,4-year,2254547000,1747,9170,70094,Better than Average
kings.edu,3.52,85,425,2,27,7,21,23,5,King's College,Wilkes-Barre,PA,Bachelor's,Graduate,Private nonprofit,0.9584,Not online only,40880,40880,0.6593,4-year,87605157,1750,26876,54424,Better than Average
strose.edu,3.32,392,1881,54,4,19,63,132,120,The College of Saint Rose,Albany,NY,Bachelor's,Graduate,Private nonprofit,0.7633,Not online only,35400,35400,0.4962,4-year,38815266,1778,23122,49272,Worse than Average
coppin.edu,3.12,446,1520,11,2,148,30,75,180,Coppin State University,Baltimore,MD,Bachelor's,Graduate,Public,0.4792,Not online only,6809,13334,0.5676,4-year,11396202,1785,6010,14332,Better than Average
cobleskill.edu,5.23,160,595,3,10,20,16,33,78,SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,Bachelor's,Bachelor's,Public,0.8101,Not online only,8676,18586,0.5799,4-year,9830342,1806,16366,25031,Better than Average
canisius.edu,4.93,1188,4033,7,13,162,33,322,651,Canisius College,Buffalo,NY,Bachelor's,Graduate,Private nonprofit,0.8146,Not online only,30910,30910,0.4417,4-year,124459540,1807,17907,39531,Better than Average
evergreen.edu,3.34,94,450,0,0,19,28,33,14,The Evergreen State College,Olympia,WA,Bachelor's,Graduate,Public,0.9946,Not online only,8529,29172,0.7354,4-year,17484382,1819,21048,24865,Better than Average
uti.edu,5.02,1001,3355,25,26,95,59,108,688,Universal Technical Institute-Dallas Fort Worth,Irving,TX,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,1839,22318,26184,Better than Average
uti.edu,5.02,1001,3355,25,26,95,59,108,688,Universal Technical Institute of Texas Inc.,Houston,TX,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,1868,18754,23624,Better than Average
moravian.edu,2.82,187,952,0,2,18,22,72,73,Moravian University,Bethlehem,PA,Bachelor's,Graduate,Private nonprofit,0.7809,Not online only,48730,48730,1,4-year,114415453,1871,31038,61984,Better than Average
marymount.edu,6.23,566,1621,17,8,102,42,70,327,Marymount University,Arlington,VA,Bachelor's,Graduate,Private nonprofit,0.8366,Not online only,36050,36050,0.4761,4-year,47701014,1891,26300,48583,Better than Average
msmu.edu,4.52,460,1565,4,2,10,96,74,274,Mount Saint Mary's University,Los Angeles,CA,Bachelor's,Graduate,Private nonprofit,0.9012,Not online only,45388,45388,0.3191,4-year,138585293,1898,35184,56544,Better than Average
dsu.edu,3.95,155,1071,0,26,7,30,64,28,Dakota State University,Madison,SD,Bachelor's,Graduate,Public,0.8561,Not online only,9633,12735,0.7926,4-year,16163780,1910,18619,22413,Better than Average
maui.hawaii.edu,13.31,523,1694,4,7,48,114,69,281,University of Hawaii Maui College,Kahului,HI,Associate,Bachelor's,Public,,Not online only,3278,8414,0.5417,4-year,356156,1915,8642,14936,Better than Average
northeastern.edu,3.22,334,1041,0,1,2,81,56,194,Northeastern University Professional Programs,Boston,MA,Bachelor's,Graduate,Private nonprofit,,Not online only,,,0.0761,4-year,86642212,1928,,,Better than Average
rcsj.edu,6.33,375,924,2,3,24,53,73,220,Rowan College of South Jersey-Cumberland Campus,Vineland,NJ,Associate,Associate,Public,,Not online only,4710,5550,1,2-year,4217348,1937,8975,12958,Better than Average
morrisville.edu,2.73,107,779,3,2,8,16,29,49,SUNY Morrisville,Morrisville,NY,Associate,Bachelor's,Public,0.8084,Not online only,8741,18651,0.694,4-year,2603335,1939,17685,26314,Better than Average
uamont.edu,2.42,238,644,0,2,103,12,47,74,University of Arkansas at Monticello,Monticello,AR,Certificate,Graduate,Public,,Not online only,8029,13879,1,4-year,3728045,1946,12907,19028,Better than Average
gbcnv.edu,3.72,128,798,7,1,16,25,33,46,Great Basin College,Elko,NV,Certificate,Bachelor's,Public,,Not online only,3593,12809,1,4-year,708000,1953,7758,12124,Better than Average
nr.edu,4.42,264,1592,2,16,28,37,88,93,New River Community College,Dublin,VA,Associate,Associate,Public,,Not online only,4697,10699,0.3063,2-year,15321503,1954,6346,11837,Better than Average
northgatech.edu,4.32,144,1289,5,45,19,16,59,0,North Georgia Technical College,Clarkesville,GA,Certificate,Associate,Public,,Not online only,3022,5422,0.3371,2-year,,1970,4571,11999,Better than Average
vanguard.edu,8.13,1019,2727,96,5,110,67,177,564,Vanguard University of Southern California,Costa Mesa,CA,Bachelor's,Graduate,Private nonprofit,0.6901,Not online only,37700,37700,0.9651,4-year,7613821,1972,20181,47967,Worse than Average
